LAJI;pohj_etrs;ita_etrs;VAKAV_A;VV
MA;6672765.113;25497011.56;1;2010
MA;6674260.178;25497672.77;1;2010
MA;6675787.243;25497111.13;1;2010
MA;6673206.605;25495564.19;1;2010
MA;6684999.538;25500603.53;2;2010
MA;6679564.575;25504231.79;1;2010
MA;6676909.667;25498155.88;1;2010
MA;6673543.455;25497599.41;1;2010
MA;6683610.684;25510541.82;1;2010
JK;6672210.935;25496622.07;2;2010
MA;6678262.215;25508180.1;1;2010
MA;6682552.295;25501049.01;1;2010
MA;6672014.124;25497128.38;1;2010
MA;6671964.884;25495238.55;1;2010
MA;6680999.439;25499076.65;1;2010
MA;6675400.091;25494572.09;1;2010
MA;6682355.472;25500135.32;1;2010
MA;6678524.807;25498321.08;1;2010
MA;6677070.497;25507491.69;1;2010
MA;6672645.633;25496073.53;1;2010
MA;6678021.145;25502471.28;1;2010
MA;6682551.045;25500611.73;1;2010
MA;6684492.8;25499502.11;1;2010
MA;6673052.634;25496130.24;1;2010
MA;6681355.57;25503132.75;1;2010
MA;6676601.127;25497980.1;1;2010
MA;6679033.837;25509634.8;1;2010
MA;6678911.968;25502972.66;1;2010
MA;6678977.056;25504426.73;1;2010
MA;6671759.424;25497012.01;1;2010
MA;6675443.049;25495065.13;1;2010
MA;6673007.433;25496058.56;1;2010
MA;6675212.555;25495252.24;1;2010
MA;6677382.431;25504179.85;1;2010
MA;6675389.025;25497674.59;1;2010
MA;6675409.507;25497062.54;1;2010
MA;6674179.451;25495338.58;1;2010
MA;6677655.26;25496804.35;1;2010
MA;6675602.456;25501514.84;1;2010
MA;6672171.955;25495665.58;1;2010
MA;6674778.681;25495398.48;1;2010
MA;6672766.762;25495645.56;1;2010
MA;6672010.474;25493109.7;1;2010
MA;6673920.315;25497222.74;1;2010
MA;6675652.672;25493132.45;1;2010
MA;6676947.589;25493364.39;2;2010
MA;6677986.313;25504755.97;1;2010
MA;6675337.551;25498023.39;1;2010
